"date", "low", "high", "open", "close", "volume", "range"
Tue Jul 18 2017,2134.37,2393.43,2235.14,2308.15,23791.82,259.06
Wed Jul 19 2017,2216,2396,2307.48,2258.99,18567.48,180.00
Thu Jul 20 2017,2258.99,2957,2258.99,2873.48,36509.17,698.01
Fri Jul 21 2017,2608.27,2880,2873.45,2657.45,23062.18,271.73
Sat Jul 22 2017,2646.95,2869.88,2661.05,2825.27,12225.62,222.93
Sun Jul 23 2017,2691,2848,2825.27,2754.28,10194.97,157.00
Mon Jul 24 2017,2726.8,2799.2,2755.19,2762.26,8105.65,72.40
Tue Jul 25 2017,2449.69,2782.44,2761.68,2564,19195.64,332.75
Wed Jul 26 2017,2403,2614,2564,2525.99,13015.86,211.00
Thu Jul 27 2017,2514.1,2686.2,2525.98,2664.99,10034.53,172.10
Fri Jul 28 2017,2655.55,2825.11,2664.99,2786.07,17189.25,169.56
Sat Jul 29 2017,2656,2790.99,2786.07,2700.21,9860.13,134.99
Sun Jul 30 2017,2500,2739.98,2700.2,2723.99,8450.93,239.98
Mon Jul 31 2017,2700,2900,2723.99,2856.88,11462.15,200.00
Tue Aug 01 2017,2676.01,2925,2856.89,2732.59,9772.97,248.99
Wed Aug 02 2017,2650,2758.06,2731.6,2699.9,8422.28,108.06
Thu Aug 03 2017,2699.89,2799,2699.9,2787.02,7425.96,99.11
Fri Aug 04 2017,2760,2877.79,2787.05,2857.34,7714.98,117.79
Sat Aug 05 2017,2857.34,3335,2857.34,3243.49,21614.60,477.66
Sun Aug 06 2017,3150,3278.42,3243.5,3222.22,8666.20,128.42
Mon Aug 07 2017,3190,3416,3222.22,3398.23,11324.92,226.00
Tue Aug 08 2017,3349.91,3489,3398.23,3422.43,16013.94,139.09
Wed Aug 09 2017,3232.62,3428.29,3423.28,3342.8,13076.15,195.67
Thu Aug 10 2017,3317,3448,3342.8,3444.98,9348.36,131.00
Fri Aug 11 2017,3416.86,3725,3444.98,3656.15,15315.75,308.14
Sat Aug 12 2017,3622.87,3974,3656.14,3874,18972.14,351.13
Sun Aug 13 2017,3850,4200,3874,4060.47,23522.14,350.00
Mon Aug 14 2017,3985.01,4328,4060.47,4320.6,20059.96,342.99
Tue Aug 15 2017,3807.14,4434.42,4320.53,4159.93,32018.07,627.28
Wed Aug 16 2017,3928.82,4385.5,4159.93,4370.01,17969.63,456.68
Thu Aug 17 2017,4180,4469,4370.01,4280.01,19980.89,289.00
Fri Aug 18 2017,3960.47,4350,4280.01,4101.72,20823.05,389.53
Sat Aug 19 2017,4000,4186.1,4101.72,4157.41,10502.74,186.10
Sun Aug 20 2017,4044.52,4190.21,4157.41,4050.99,8331.87,145.69
Mon Aug 21 2017,3950.88,4089.99,4050.99,4002,12417.66,139.11
Tue Aug 22 2017,3583.46,4145,4002,4092,21921.83,561.54
Wed Aug 23 2017,4058.26,4247.88,4092,4143.49,11746.00,189.62
Thu Aug 24 2017,4112.76,4349.99,4142.5,4312.03,10247.98,237.23
Fri Aug 25 2017,4284.01,4453.9,4312.03,4360,10918.78,169.89
Sat Aug 26 2017,4260.01,4374.39,4360,4344.32,6146.48,114.38
Sun Aug 27 2017,4309.87,4392,4344.32,4340.11,7041.34,82.13
Mon Aug 28 2017,4200,4396,4343.5,4384.99,10452.60,196.00
Tue Aug 29 2017,4350,4656.83,4384.99,4599,14509.96,306.83
Wed Aug 30 2017,4500.55,4635.21,4599.01,4581.98,10383.43,134.66
Thu Aug 31 2017,4580.84,4769.03,4581.98,4743.94,13628.46,188.19
Fri Sep 01 2017,4706,4948,4743.94,4947.99,16759.14,242.00
Sat Sep 02 2017,4500,4980,4948,4649.99,19577.19,480.00
Sun Sep 03 2017,4524,4749.99,4642.39,4626.05,11568.86,225.99
Mon Sep 04 2017,4234.16,4628.05,4626.05,4498.25,20518.88,393.89
Tue Sep 05 2017,4242.38,4514.95,4498.46,4432.51,17315.43,272.57
Wed Sep 06 2017,4431,4692,4432.51,4616.18,16174.30,261.00
Thu Sep 07 2017,4475.01,4665.44,4616.18,4624.18,8455.04,190.43
Fri Sep 08 2017,4140,4679.99,4624.18,4350,22101.27,539.99
Sat Sep 09 2017,4180,4449.95,4350,4334.36,10073.90,269.95
Sun Sep 10 2017,4139,4349.99,4334.36,4251.36,10078.37,210.99
Mon Sep 11 2017,4111.14,4365,4251.36,4210.72,9068.26,253.86
Tue Sep 12 2017,4080,4375.37,4210.72,4164.52,12373.40,295.37
Wed Sep 13 2017,3726,4174.53,4164.52,3855.32,22842.53,448.53
Thu Sep 14 2017,3230.05,3923,3855.61,3250.4,36338.03,692.95
Fri Sep 15 2017,2975.01,3894.48,3249.99,3740.02,54488.48,919.47
Sat Sep 16 2017,3600,4042.98,3740.02,3726.51,19031.68,442.98
Sun Sep 17 2017,3475.64,3841,3726.51,3719.97,11718.88,365.36
Mon Sep 18 2017,3717.56,4130,3719.98,4100,16906.72,412.44
Tue Sep 19 2017,3850.44,4125.22,4100,3910.11,13781.16,274.78
Wed Sep 20 2017,3850.01,4044,3910.11,3872.06,9910.40,193.99
Thu Sep 21 2017,3571,3903.57,3872.07,3617.47,14978.49,332.57
Fri Sep 22 2017,3509.79,3767.77,3617.47,3619.01,12649.01,257.98
Sat Sep 23 2017,3580,3818.89,3619.01,3787.33,6595.94,238.89
Sun Sep 24 2017,3630.01,3789.36,3787.33,3669.01,4692.79,159.35
Mon Sep 25 2017,3669.01,3969.37,3669.01,3919.78,9583.74,300.36
Tue Sep 26 2017,3854.29,3960,3919.98,3885.09,5893.22,105.71
Wed Sep 27 2017,3880.36,4228.39,3885.09,4200,12072.67,348.03
Thu Sep 28 2017,4122,4269.95,4200,4189.42,7903.92,147.95
Fri Sep 29 2017,4015.17,4212.99,4189.42,4156.99,10360.83,197.82
Sat Sep 30 2017,4143.52,4356.28,4156.99,4339,6235.08,212.76
Sun Oct 01 2017,4256.92,4396.99,4339.01,4394.81,5366.91,140.07
Mon Oct 02 2017,4354.23,4470,4394.81,4392.71,8647.75,115.77
Tue Oct 03 2017,4240,4419.95,4392.71,4307.99,10606.11,179.95
Wed Oct 04 2017,4175.3,4344,4307.99,4214.84,6555.27,168.70
Thu Oct 05 2017,4150.01,4365.21,4214.84,4320.04,6482.33,215.20
Fri Oct 06 2017,4299.99,4407,4320.02,4362.99,6441.73,107.01
Sat Oct 07 2017,4320,4449.42,4363,4425,4178.25,129.42
Sun Oct 08 2017,4420.01,4612,4425,4603.49,7158.20,191.99
Mon Oct 09 2017,4561,4875.39,4603.5,4769.55,14273.82,314.39
Tue Oct 10 2017,4701.53,4925.65,4769.55,4750,13708.19,224.12
Wed Oct 11 2017,4720.21,4869.97,4750,4814.99,7238.88,149.76
Thu Oct 12 2017,4809.59,5440.92,4814.99,5440,20097.69,631.33
Fri Oct 13 2017,5390,5867,5440,5624.8,26595.98,477.00
Sat Oct 14 2017,5567.86,5839.8,5624.87,5819.13,8999.20,271.94
Sun Oct 15 2017,5455.5,5849.83,5819.13,5693.7,11817.33,394.33
Mon Oct 16 2017,5575.55,5785.3,5693.7,5754.9,8820.44,209.75
Tue Oct 17 2017,5525,5769.99,5754.9,5594,9121.03,244.99
Wed Oct 18 2017,5102,5600,5593.97,5574.44,17620.44,498.00
Thu Oct 19 2017,5529.44,5750,5574.02,5704.01,8908.56,220.56
Fri Oct 20 2017,5630,6063.99,5704,5989.1,16708.98,433.99
Sat Oct 21 2017,5868.26,6189.1,5989.1,6024.86,14607.92,320.84
Sun Oct 22 2017,5755.95,6082.3,6024.85,6005.05,10770.43,326.35
Mon Oct 23 2017,5650.98,6057.02,6005.05,5905.99,16443.11,406.04
Tue Oct 24 2017,5462.19,5906,5906,5525.43,18281.49,443.81
Wed Oct 25 2017,5376.71,5765,5525.43,5739.97,14151.06,388.29
